PLANT CODE,CATEGORY MAIN,SKU CODE,WAREHOUSE_CUSTOMER,ROUTE,SUPPLIED_CASES,MAX_PRODUCTION_CAPACITY,PRODUCTION COST (INR/CASE),TOTAL_PRODUCTION_COST,TOTAL_FREIGHT_COST,TOTAL_COST
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,nJSPWbqdZsXrgyez,vxlFBnASWxxzrClK,QkwvjXHVEulRHFGE,28.039196,21781.25,144.0,4037.644224,15966.501814299187,20004.146038299186
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,ktWLpGDenIMMWjDK,vxlFBnASWxxzrClK,QkwvjXHVEulRHFGE,22.431357,21781.25,144.0,3230.1154079999997,15966.501814299187,19196.617222299188
UbSpHthdgRKwZLMO,XXdocZuzrenKTunP,bsrVWvXwqkJpxOGI,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,37.233102,27625.0,60.0,2233.98612,17504.706419863774,19738.692539863776
UbSpHthdgRKwZLMO,XXdocZuzrenKTunP,dIbXTDxYToKoQTUL,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,37.233102,27625.0,60.0,2233.98612,17504.706419863774,19738.692539863776
UbSpHthdgRKwZLMO,gfygwwMqZcUDIhyf,yksBWxjeOQYijwzj,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,82.734361,19404.0,144.0,11913.747984000001,17504.706419863774,29418.454403863776
UbSpHthdgRKwZLMO,MOkIUpkDyrOSJoRu,APOAYFdmCdCdedKx,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,13.264245,26775.0,144.0,1910.0512800000001,17504.706419863774,19414.757699863774
UbSpHthdgRKwZLMO,MOkIUpkDyrOSJoRu,TxEXwoGHUivXSCJq,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,19.896367,26775.0,144.0,2865.076848,17504.706419863774,20369.783267863775
UbSpHthdgRKwZLMO,MOkIUpkDyrOSJoRu,DutfXnHEdxusZsbZ,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,13.264245,26775.0,144.0,1910.0512800000001,17504.706419863774,19414.757699863774
UbSpHthdgRKwZLMO,MOkIUpkDyrOSJoRu,vStFuwmlshmANcZE,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,16.580306,26775.0,144.0,2387.564064,17504.706419863774,19892.270483863773
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,kyLuesPOpAMkcdLg,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,44.438928,7884.8,67.5,2999.6276399999997,10599.409463866345,13599.037103866343
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,rJKzFJZiBoFyMiqz,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,44.438928,7884.8,67.5,2999.6276399999997,10599.409463866345,13599.037103866343
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,aAWdpvAOYkDayebQ,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,74.06488,7884.8,67.5,4999.3794,10599.409463866345,15598.788863866344
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,gDEVqaJNJHtEKCxQ,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,103.69083,7884.8,67.5,6999.131025000001,10599.409463866345,17598.540488866347
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,PVjXJdoewgOkkVBu,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,69.811824,85000.0,60.0,4188.7094400000005,23961.75823607045,28150.467676070453
